date,headline,close_plus_2d
2020-02-10,"Foundry Partners, LLC Buys Intel Corp, Kimberly-Clark Corp, Bristol-Myers Squibb Company, Sells ...",67.45999908447266
2020-02-10,"Chicago Equity Partners Llc Buys Service Properties Trust, Encore Capital Group Inc, Intel ...",67.45999908447266
2020-02-10,"Sawgrass Asset Management Llc Buys Akamai Technologies Inc, Comcast Corp, Citrix Systems Inc, ...",67.45999908447266
2020-02-10,5 Great Dividend Growth Stocks Under $100,67.45999908447266
2020-02-10,5 Great Dividend Growth Stocks Under $100,67.45999908447266
2020-02-10,What Virus Outbreak? Here's Why These U.S. Stocks Will Win Big,67.45999908447266
2020-02-09,Top Insider Buys Highlight for the Week of Feb. 7,67.45999908447266
2020-02-07,"US Indexes Lower Friday, but Higher for the Week",67.41000366210938
2020-02-07,"AMD Stock Rises As Chipmaker Gains Market Share In PCs, Servers",67.41000366210938
2020-02-07,"Confluence Wealth Management LLC Buys iShares National Muni Bond ETF, Intel Corp, ...",67.41000366210938
2020-02-07,"HCR Wealth Advisors Buys Vanguard High Dividend Yield Index Fund, Apple Inc, First Trust ...",67.41000366210938
2020-02-07,Applied Materials (AMAT) Preview: Buy the Semiconductor Stock Ahead of Earnings?,67.41000366210938
2020-02-06,3 Semiconductor Stocks to Buy After Strong Earnings for 2020 Chip Growth,66.38999938964844
2020-02-06,"GAM Holding AG Buys Intel Corp, Mastercard Inc, Facebook Inc, Sells Alibaba Group Holding, ...",66.38999938964844
2020-02-06,"Stratford Consulting, LLC Buys Apple Inc, PIMCO Enhanced Short Maturity Active Exchange-Trad, ...",66.38999938964844
2020-02-06,"Stone Ridge Asset Management LLC Buys McDonald's Corp, Truist Financial Corp, Intel Corp, Sells ...",66.38999938964844
2020-02-06,"Zacks Earnings Trends Highlights: Apple, Microsoft, Alphabet and Intel",66.38999938964844
2020-02-06,5 Stocks Trading Near 52-Week High That Can Scale Higher,66.38999938964844
2020-02-06,Buy 5 Blue-Chip Stocks That Have Surged YTD Defying Volatility,66.38999938964844
2020-02-06,Stocks Are Rising on February 6 But Something Seems To Be Missing,66.38999938964844
2020-02-05,"Candriam Luxembourg S.C.A. Buys Alphabet Inc, Intel Corp, Qualcomm Inc, Sells Vertex ...",66.0199966430664
2020-02-05,AMD Stock Bounces Through A Buy Range As Prospects Rise,66.0199966430664
2020-02-05,"Hendley & Co Inc Buys Procter & Gamble Co, Bristol-Myers Squibb Company, United Parcel ...",66.0199966430664
2020-02-05,"Hot Options Report For End Of Day - Wednesday, Feb. 5",66.0199966430664
2020-02-05,Stocks Are Surging on February 5 As The Bulls Run Once Again,66.0199966430664
2020-02-04,"Youngs Advisory Group, Inc. Buys Essential Utilities Inc, Intel Corp, Alphabet Inc, Sells ...",67.08999633789062
2020-02-04,"Clear Investment Research, Llc Buys Graphic Packaging Holding Co, Truist Financial Corp, Schwab ...",67.08999633789062
2020-02-04,Is It Time To Buy Rebounding Chip Stocks As China Coronavirus Fears Ease?,67.08999633789062
2020-02-04,3 Extra-Large Caps with Great Zacks Ranks,67.08999633789062
2020-02-04,"ON Semiconductor (ON) Q4 Earnings Lag Estimates, Shares Down",67.08999633789062
2020-02-04,"Excalibur Management Corp Buys Apple Inc, Independent Bank Corp, AvalonBay Communities Inc, ...",67.08999633789062
2020-02-04,"Stocks Are Ready To Rally On February 4, As Key Resistance Approaches",67.08999633789062
2020-02-03,3 Dividend-Paying Stocks for Investors to Buy to Fight Off Market Uncertainty,67.33999633789062
2020-02-03,"Trust Investment Advisors Buys Taiwan Semiconductor Manufacturing Co, Motorola Solutions Inc, ...",67.33999633789062
2020-02-03,"DDD Partners, LLC Buys Ovintiv Inc, 'M Co, Intel Corp, Sells Expedia Group Inc, Photronics ...",67.33999633789062
